curve_id,curve_label,curve_role,panel,quantity,x_log10_1pz,redshift,value_mpc3,colour,linestyle,source
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,0.8588652016,6.2254550159,1.1220861236e-05,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,0.8601621816,6.2470654179,1.2583181436e-05,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,0.8889730849,6.7441380262,3.6768788443e-05,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,0.9095523006,7.1199302864,6.7610747010e-05,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,0.9249798975,7.4135619634,1.0986493317e-04,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,0.9445505977,7.8013764657,2.9167761720e-04,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,0.9651025539,8.2278930811,7.0781769549e-04,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,0.9877533229,8.7219486514,1.3666998052e-03,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.0289117543,9.6883767657,3.1470574677e-03,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.0597669515,10.4753767137,6.6558858554e-03,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.0872149900,11.2240464065,1.2394885954e-02,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.1047141402,11.7266511597,1.8255486808e-02,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.1255114146,12.3509267954,2.9879944261e-02,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.1719032364,13.8560460318,1.0060490891e-01,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.1933546838,14.6082669352,1.6566269696e-01,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.2149969339,15.4057819088,2.6596823552e-01,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.2574637146,17.0910475279,6.9848847227e-01,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.2772524702,17.9344402221,1.0244167867e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.2961689940,18.7773907430,1.3816168634e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.3142950611,19.6203038763,1.7617338198e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.3332660971,20.5410117242,2.1665958684e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.3529730844,21.5409950903,2.5070435526e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.3718078366,22.5400746983,2.7411045664e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.3898793848,23.5402727212,2.8818060571e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.4072149918,24.5396529683,2.8748625994e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.4238964224,25.5397252430,2.6984587581e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.4399509362,26.5391756600,2.4194059135e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.4554330487,27.5386252512,2.1073162260e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.4703700158,28.5372470760,1.7691868356e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.4848436128,29.5382124959,1.4153515452e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.4988265766,30.5374501156,1.0861320981e+00,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.5123734229,31.5366939978,8.0873297157e-01,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.5255114144,32.5360118483,5.9174148450e-01,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.5382678006,33.5356632198,4.2597795841e-01,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.5506698475,34.5361068902,3.0078826367e-01,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.5627175452,35.5357094772,2.0595713926e-01,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.5744381598,36.5351503464,1.3617632592e-01,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
popiii_edd_a,Pop-III (Eddington),popiii_edd,a,rate,1.5858316878,37.5328993287,8.6890700417e-02,#e41a1c,-,Chen+2026 Fig.6a vector path 1162; page-10 first-column trace
