curve_id,curve_label,curve_role,redshift,log10_mbh_seed_msun,phi_mpc3_dex1,colour,linestyle,source
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.4687588008,6.1725554285e-02,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.5312412027,4.6060792264e-02,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.5312412027,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.5312412027,4.6060792264e-02,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.5937236220,3.4023849844e-02,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.5937236220,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.5937236220,3.4023849844e-02,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.6562060240,2.4810982405e-02,#000000,-,Chen+2026 Fig.5a vector path 1261
all_seeds_lower,All seeds (lower envelope),all_seeds_lower_envelope,20.0,3.6562060240,1.0000000000e-06,#9e9e9e,-,Chen+2026 Fig.5a grey filled support floor; vector path 1261
all_seeds_upper,All seeds (upper envelope),all_seeds_upper_envelope,20.0,3.6562060240,2.4810982405e-02,#9e9e9e,-,Chen+2026 Fig.5a black boundary; vector path 1261
all_seeds_central,All seeds,all_seeds_central,20.0,3.7186884433,1.7716643331e-02,#000000,-,Chen+2026 Fig.5a vector path 1261
