curve,r_pc,v_km_s,log10_mass_reference,chi2_reduced,source_kind,source_note
point_mass_keplerian,-3.8551343754490706,-79.20642597253267,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-3.9335654346822158,-78.41280464171477,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.013592140254333,-77.6271351255255,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.095246954907402,-76.84933774949866,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.178563001823999,-76.07933363747898,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.263574078063672,-75.31704470362338,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.350314668272687,-74.56239364448219,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.4388199586726795,-73.8153039311599,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.529125851333909,-73.07569980155445,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.621268978738893,-72.34350625267408,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.7152867186423295,-71.61864903303145,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.811217209233339,-70.90105463511372,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-4.909099364606186,-70.19065028792825,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-5.008972890545724,-69.48736394962287,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-5.110878300634016,-68.79112430018014,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-5.2148569326846115,-68.10186073418487,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-5.32095096551119,-67.41950335366398,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-5.429203436037343,-66.74398296099824,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-5.539658256754465,-66.07523105190486,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-5.65236023353479,-65.41317980849063,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-5.767355083806849,-64.75776209237442,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-5.884689455100702,-64.10891143787877,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
point_mass_keplerian,-6.004410943970439,-63.46656204528959,6.75,1.0,published_equation,"Nature 2026 Fig.2/Methods equation (1), point mass log10(M/Msun)=6.75"
